198	-19.088681
249	-16.299588
251	-16.489141
304	-15.687331
306	-15.945396
358	-14.719073
360	-15.045609
361	-13.072163
363	-13.403633
365	-13.737447
369	-14.412101
371	-14.752938
459	-10.663088
461	-11.122426
463	-11.584040
465	-12.047925
467	-12.514081
468	-10.648036
552	-11.367081
553	-9.590296
555	-10.175121
556	-8.400076
562	-10.176611
563	-8.409356
565	-9.008891
567	-9.610590
606	-11.339129
647	-10.821163
649	-11.532926
651	-8.193430
653	-8.913560
654	-7.245648
682	-9.293497
683	-7.658531
685	-8.423673
687	-5.157874
690	-8.333831
691	-6.707019
693	-7.484549
694	-5.860232
696	-6.642970
699	-9.828912
730	-8.072050
733	-11.309968
742	-9.115569
744	-9.962511
747	-9.251981
748	-7.692101
771	-7.549490
773	-8.439591
775	-9.331489
776	-7.803994
778	-8.701027
780	-9.599844
781	-8.078597
782	-6.556920
784	-7.464217
786	-8.373286
811	-5.962720
813	-6.912572
815	-7.864125
816	-6.382132
818	-7.338770
820	-8.297097
821	-6.821581
823	-7.784982
825	-8.750059
827	-9.716804
829	-10.685213
847	-7.610296
849	-8.610398
850	-7.169435
852	-8.174560
853	-6.736817
855	-7.746961
857	-8.758695
859	-9.772011
861	-10.786904
867	-9.986430
883	-10.315974
884	-8.917241
886	-9.969836
887	-8.574448
889	-9.631980
891	-10.691004
899	-11.120341
901	-8.363523
903	-9.442203
908	-6.407526
919	-10.265188
920	-8.909746
922	-10.015537
924	-11.122716
926	-12.231277
931	-9.316524
933	-10.438193
934	-9.100177
935	-7.762213
937	-8.892164
938	-7.557728
942	-9.828574
963	-8.432841
965	-9.603451
967	-10.775306
968	-9.478844
969	-8.182530
971	-9.362571
972	-8.069889
974	-9.254630
976	-10.440583
978	-11.627741
980	-12.816096
981	-11.537480
982	-10.259046
995	-8.469371
998	-8.426970
1000	-9.650028
1002	-10.874203
1003	-9.620549
